index,signature,time,phish_type,victims,phishers,token_accounts,loss
11,39QRFWdLs37bQaKuJvQm74inEHRip9HhJHmzSNW1oFc8rdUzfJj6zAE24TH7Gisa4Ghq1r2YgHgoM2rUpn3bTskP,2024/12/29 0:17,STMT,5919F16F3eZtxtPyMNoTqREYEspzDm7z2CsZRPi2mhYc,"BJsFj6Hd698EM6dx3ZhhYfsqDFUvnzuErDd6ao39fgh4,2DrLah8ce4JZ9ZZMwp3eXcPF3enjKkcvtnrJnbsBkEr5","HLjnKQc3Mv5t1s15FkiBfnEAXxv1NymYosRqft5omnqh,9VwvYZFZYhQN6ozFBX34AY4M7PMR4yJVceYFtMFtMwMx","[('BKXQnRzZFq1DXyiJiVC6Y5EbUYMgYCMx9U89D5Yrpump', 10935105.46906), ('GLPdQwGtjcynj3RLraenPeR9v1REnpdyuciPBpVipump', 436024.725393)]"
12,26FGVSpB6t2bCTeJNAygeyJeeCLQQ7ZMXysudrKgbLNjQ5qtvH8fvwqGhW7Cj12GugJHwKAJrgfozaqFD7cNeUHj,2024/12/28 23:40,STMT,BgnSzPhTHQ3zcskFeW9oycLxFxeTvbbB7f7kKJHxLpRS,"BJsFj6Hd698EM6dx3ZhhYfsqDFUvnzuErDd6ao39fgh4,2DrLah8ce4JZ9ZZMwp3eXcPF3enjKkcvtnrJnbsBkEr5","HbSbbFwGMpSLiZ43mXNPGwbQKnLc4HjHQR43NxuvN52N,9BkE96Tt59r9kDxi5vrNbFpoHEMTjd31CpmYkC8sshnX","[('GLPdQwGtjcynj3RLraenPeR9v1REnpdyuciPBpVipump', 20609.812208), ('WENWENvqqNya429ubCdR81ZmD69brwQaaBYY6p3LCpk', 655226.81737)]"
13,5iX42iQtJUwfmZrwWDbTxJasiftBbENnjbvTxmcxbZPnBLQkZjtpJaFp48Arkwg95KqeFaCymn6uoy8A64pnSrN6,2024/12/28 23:40,STMT,BgnSzPhTHQ3zcskFeW9oycLxFxeTvbbB7f7kKJHxLpRS,"BJsFj6Hd698EM6dx3ZhhYfsqDFUvnzuErDd6ao39fgh4,2DrLah8ce4JZ9ZZMwp3eXcPF3enjKkcvtnrJnbsBkEr5","3Bia5p7KaTGG6z8sWvLvttdZyTwoXGAPE23NDk4vxeaL,C597R1VTv34o7Lv4F6qSHYTRHoQmzcjgYdBTLDYEXfHW,4LhBUHzJ3N1gFe4F5KQCVT4VmMNopwMY1AWu7m6BqoM5","[('MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5', 28853.7803), ('JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN', 102.106753), ('AUdUEc98MGfEHJiJfCgMaW8gKdcfNDio8BFzGKBwjztC', 1219381137.5677)]"
14,56WS4NcTDvc7XvbbpKAmwWR3my8oYtZKsM8KnoxHmRq5WSeeymT9H5zWXqcEv5Xhkt7iEGdiSSNzApGmNuMXRQ1d,2024/12/28 23:40,STMT,BgnSzPhTHQ3zcskFeW9oycLxFxeTvbbB7f7kKJHxLpRS,"BJsFj6Hd698EM6dx3ZhhYfsqDFUvnzuErDd6ao39fgh4,2DrLah8ce4JZ9ZZMwp3eXcPF3enjKkcvtnrJnbsBkEr5","EBxMKj3Utj3ninJvQe8mcJFrhCeGorF59AaDfNokp3fo,GJr86AbFk2vFiUBX2uFMNDhcdahiWdVPJKA4UdhfPuea,J32B8aVW57JHCdeihWqvccd5on21SXphzG4UwFT2fLfe","[('2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv', 6786.026671), ('DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263', 10070898.25811), ('EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v', 326.110139)]"
15,4z6fbJgPfg7spm8hj2N2AqYYS8T7KYWX6d625SCNJUFG69zox5HjAd8Qt6mtm3ddPVkuXKb35sTBxayTPsK41svD,2024/12/28 22:32,STMT,7FiAJ5dcMyJbLkkHmYmf1KhCyw6a2DxYHbewazSanCAy,"BJsFj6Hd698EM6dx3ZhhYfsqDFUvnzuErDd6ao39fgh4,2DrLah8ce4JZ9ZZMwp3eXcPF3enjKkcvtnrJnbsBkEr5","7ifD1S8kAiTAe433AnayYaS3J5rgDGghLYcGANEMu82J,5FnZDRrsWQeJjK3HBhQZwMZRYMYXh7pJKYB4EV99kRit,BdiBmZcAZ7poKVYZuYJSLjpSnGJ9YYEvqZckzvPFY2P7","[('AhETniiER6cWZierMozuiapzRxtNUjXp7Qn2da5qpump', 79245.85847), ('J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn', 0.09430267), ('HNg5PYJmtqcmzXrv6S9zP1CDKk5BgDuyFBxbvNApump', 1682.399851)]"
16,4NqS8dEtej3dBvwovaq4PDFM4AfoENzGnmGeBMhwsiVduE1kUKwor6UveRf6EcT5fhAL4wxmQcqC5ENS2EhzDJ2t,2024/12/28 20:44,STMT,Gm3E9oDjNkUrjmU5Ae6EUpbjKRnhua2jVpNX4rmFyK9M,"BJsFj6Hd698EM6dx3ZhhYfsqDFUvnzuErDd6ao39fgh4,2DrLah8ce4JZ9ZZMwp3eXcPF3enjKkcvtnrJnbsBkEr5","BiAkqzYisNSr657vkUYJ3yN8z7heN3gGfT8qwBjkQKLX,4QhSrDKA9afURfGBiJyj6xD8XNcqJdZfyN9Cnn2qVFx7","[('EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v', 10.0), ('hntyVP6YFm1Hg25TN9WGLqM12b8TQmcknKrdu1oxWux', 15.20418)]"
17,55zSyjdS8anhMqHvhYKbEcQagz98PE3MYFc8KSk1aZdFJqd6cZ4kC2i2oo8my3nC4HxHQXDDZ6FXWtxvXujN5r5G,2024/12/28 8:48,STMT,7hDM4dnSeTJNUuCMvFinr6eiuRpJPYZo2e9FxQvxskhC,"BJsFj6Hd698EM6dx3ZhhYfsqDFUvnzuErDd6ao39fgh4,2DrLah8ce4JZ9ZZMwp3eXcPF3enjKkcvtnrJnbsBkEr5","DjbuDS6qZskRKNskQ9n1eHuaiFiT47bKzX5BpBfRifHF,6sRv2RHtF71982RgLd7CPZZk6vNfLJc3S6kXPLeCioxH","[('5EqRDhtdM5We4a5oyLeebJz7LfsRyXMNC52DMNEhpump', 17419.760078), ('HfMbPyDdZH6QMaDDUokjYCkHxzjoGBMpgaUvpLWGbF5p', 1007.412376872)]"
18,4daqpStKZiRb7kJAnXDs2iucvn1qU63XauSn47nvU7r5ymYJRnxNj5C4ueVbgYUsJJo4FfKeZm3wNaaB5ZJFPgtE,2024/12/28 1:42,STMT,5piJKDgYYoRUXUgdDMPJU3yxAyQ54q5tKx6MCCKWrEUa,"BJsFj6Hd698EM6dx3ZhhYfsqDFUvnzuErDd6ao39fgh4,2DrLah8ce4JZ9ZZMwp3eXcPF3enjKkcvtnrJnbsBkEr5","EB3CijNAQeTAqSZqmPjRJy1rtqbYmUpAK3n8kz8skLx,5bBTe8cmh1fbwL5cv82uBjdBNik1jj87KPtnVU3PXjXL,B9UyrMR66PW23nwd3eenhwkjL7NxKWTLCJ53VymNCajy","[('7pADAkcs3XgSYks26ttBED8JKdLrRhihyFGnCBs2pump', 300000.0), ('9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump', 10.697755), ('GLPdQwGtjcynj3RLraenPeR9v1REnpdyuciPBpVipump', 29000.0)]"
19,4MfPf9K2MXJUgvuJLSTKuixb5VS8VXYLZ5M8QBeyjhWdsv7iwASbtqrYmX3asECacYpRYQCQkVdypK29NkthQL62,2024/12/27 15:59,STMT,FULhZojYGUBCVCiBgfrqJMAhZxZHeLTjz15rQcs51ght,"BJsFj6Hd698EM6dx3ZhhYfsqDFUvnzuErDd6ao39fgh4,2DrLah8ce4JZ9ZZMwp3eXcPF3enjKkcvtnrJnbsBkEr5","4DowJ4VW92P9J2szG1F5Rf11A1TveBWFRsZxCfBneNG5,EqnbvU5i2u9fHb2KA1yVg43wzyMCy8av3tJL4hb54kWt","[('HNg5PYJmtqcmzXrv6S9zP1CDKk5BgDuyFBxbvNApump', 196.056298), ('Fxm6tJ2khHbLVcSgnYUqg9FiBduVRLEvdQR67dvQ3eGp', 4788.858869), ('sol', 725282161)]"
20,wWZkBzq47pzz4UfnxfjbKjTA3CTzgpmQYQKvnF1tRo3fjskiHrtHBvnv4njhvyoGiBoXte7mvCXg9pn8Mjk76TM,2024/12/27 15:59,STMT,FULhZojYGUBCVCiBgfrqJMAhZxZHeLTjz15rQcs51ght,"BJsFj6Hd698EM6dx3ZhhYfsqDFUvnzuErDd6ao39fgh4,2DrLah8ce4JZ9ZZMwp3eXcPF3enjKkcvtnrJnbsBkEr5","Gf7auKaxQuvhmSFZ2jxSJhpzi94pAh3AzLxhkmrVEtjF,4Lu8mxq7jNiPpLFzknoSnsqZG8XBaxvcQ4AUQ5qGdWEC,GjBVVvLiPXeMY2342XUovPaKBk7kydmf2gRxBH6ybnsn","[('GLPdQwGtjcynj3RLraenPeR9v1REnpdyuciPBpVipump', 8073.410464), ('Em4rcuhX6STfB7mxb66dUXDmZPYCjDiQFthvzSzpump', 49559.755004), ('KENJSUYLASHUMfHyy5o4Hp2FdNqZg1AsUPhfH2kYvEP', 213.11954)]"
21,53fZreaLQWnpbPWHyUVCKyxbtZb2NpUfn9D3nuPgzR8NVa3MZSVQP1g1KamNJ9qFtm3TYGrTpWfDkZEHpdfrmMzT,2024/12/31 3:10,STMT,5mAmhhsdG6WnjinU2GikTkZYgFuuqYZYE3vbuZbr46BH,"7dm9am6Qx7cH64RB99Mzf7ZsLbEfmXM7ihXXCvMiT2X1,pSwTTFE92RsRtvMCpb3mjruv5ww2KgBNVPscwdWwbxk","FGs6hA1KgbamXA9nA25MpRYBZyeLdyZizLeMJCktzULp,AVymBVWgFpxfm8Ft8FG4gRyhYmUNnBsbqeRCimEanEyT","[('So11111111111111111111111111111111111111112', 0.539465092), ('7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs', 0.00106273)]"
22,HngjEKDusQrjWw5htPen92MBqYshJGUjoVooCVhQnTXTvVUzZhRvPD1ThUT2pUzCkJbkZZfgauuM4JS5vGv7FF5,2024/12/27 6:40,STMT,ptphZ6oapstTN2krxbUc3Q2CnTDEqjaG9gHrVfrLZPN,"BJsFj6Hd698EM6dx3ZhhYfsqDFUvnzuErDd6ao39fgh4,2DrLah8ce4JZ9ZZMwp3eXcPF3enjKkcvtnrJnbsBkEr5","3VJfmG7busxbembENxqVyMe3JZHK9wLnLnXsxMH2GaFz,Ge9GNp67iFiPtiaxgZm4jUvKAstms5f5RuXahwA5yG6v","[('74SBV4zDXxTRgv1pEMoECskKBkZHc2yGPnc7GYVepump', 12216.983673), ('CE7SSDFnN1R21pyNK9vRBYpkLFPsHyHWManPoY9upump', 84658.417057)]"
23,3N65owQEJETbNtSgyCsxDnHJjvY9RCa8YCBzZYRRWkNEMzVGqDehaX5ocmr3FMVJHSDWiB5v6D6iEkqvY8VewkGR,2024/12/31 1:53,STMT,7kzZtXmygn9Xsc8qPMeauLjcY7EcvTd1u3AK1DKQzigm,"7dm9am6Qx7cH64RB99Mzf7ZsLbEfmXM7ihXXCvMiT2X1,pSwTTFE92RsRtvMCpb3mjruv5ww2KgBNVPscwdWwbxk","CsYFXXj5hZmZXZgkajuuCkmPghEpimpATpY6Y8JWhBU,7qXBiV4ix51ArEEW81xyQQBx6hRidPCkLRvRYiaP1N17","[('So11111111111111111111111111111111111111112', 9.071221872), ('7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs', 0.00106494)]"
24,3E4D2NViNeWJ38g1qntBhFPqaxGiLGo4depanVusoEqHRStwahNsR9yXC6uHRVtLZGaovF7WUE1Hj8basD6nVruG,2024/12/31 1:36,STMT,4VTPHoNjuCRRA8rYyAYH7goJs9nxqanzte5qA7pUnRYZ,"7dm9am6Qx7cH64RB99Mzf7ZsLbEfmXM7ihXXCvMiT2X1,pSwTTFE92RsRtvMCpb3mjruv5ww2KgBNVPscwdWwbxk","79vsPXxhT12sN73LSdso3SNwo6ZCTwvwxPRDTVGrjTtR,5ZKwt5i9HmY84Z3mEk3mMExknm5NKcKEfSeMQiogvVV1","[('So11111111111111111111111111111111111111112', 0.391027558), ('Gz7VkD4MacbEB6yC5XD3HcumEiYx2EtDYYrfikGsvopG', 7.80233856)]"
25,2UK19DvUDf6QiGXS5AgxJRG7f1ht5RL9k9g9iKbxDFpNqgJCJco9Pt5kR5M4S3DZZSsEckpxVmk3gACEYTbXzNY8,2024/12/26 21:29,STMT,58FFuou6iSAprKZBCGj1coJdRnrTPjNqwUGA5RDWJ83g,"BJsFj6Hd698EM6dx3ZhhYfsqDFUvnzuErDd6ao39fgh4,2DrLah8ce4JZ9ZZMwp3eXcPF3enjKkcvtnrJnbsBkEr5","CDK2YKRewsh75TgK2oJPQH3H2ZwG4JmgaALcyyGWEzi9,68ELv8QuBgxyvg5K57rxn8je3mLVeCzSWgKH4XuZxmRU","[('MEFNBXixkEbait3xn9bkm8WsJzXtVsaJEn4c8Sam21u', 4.783139), ('EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v', 10.0)]"
26,5iJV76iu4TtuiMJNhyC26ykTTyN1zcb6WCK31JX6ooVQaRqydj7KSVwx8WqhNvTiMoG7jWkQ7rQNzM1Txs7fckV9,2024/12/26 21:29,STMT,58FFuou6iSAprKZBCGj1coJdRnrTPjNqwUGA5RDWJ83g,"BJsFj6Hd698EM6dx3ZhhYfsqDFUvnzuErDd6ao39fgh4,2DrLah8ce4JZ9ZZMwp3eXcPF3enjKkcvtnrJnbsBkEr5","5hiYj2N81px6GquqhDKVxLXXVbQehXazCvLtBR3cBMaw,FmqanbnzWtQAK1LEckQ7A3EHh6viPtzQuorrbQSbg4eC,7hLBv9uA26tUvxU9EiqzNQyMmDPWq8bHgoQB8mfd6F3A","[('EchesyfXePKdLtoiZSL8pBe8Myagyy8ZRqsACNCFGnvp', 75.039146), ('GJtJuWD9qYcCkrwMBmtY1tpapV1sKfB2zUv9Q4aqpump', 333.08717), ('2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv', 487.938998)]"
27,4E8GndFe5w8Tfpr3bnRM4kZvtE6UqyQctwTT8yuRX7XVdpMJyJ6kH9DNc3JdJ5xWQqBbhBTAX4js9rg1Fi3UoDTE,2024/12/26 21:29,STMT,58FFuou6iSAprKZBCGj1coJdRnrTPjNqwUGA5RDWJ83g,"BJsFj6Hd698EM6dx3ZhhYfsqDFUvnzuErDd6ao39fgh4,2DrLah8ce4JZ9ZZMwp3eXcPF3enjKkcvtnrJnbsBkEr5","51nvDyJ87uuL96rdHSDRq1bVLMayx7UMbeHAQc6g9u5q,2ZYYCduxgyK5TBf4KipsBCPf3ypoGm5DnZa9SHQmqxte,6tBSVKezEiR4qp55ePt6JSR4z8koDAeYgjV5bZqfjew7","[('eL5fUxj2J4CiQsmW85k5FG9DvuQjjUoBHoQBi2Kpump', 143.08531), ('9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump', 20.561985), ('Hax9LTgsQkze1YFychnBLtFH8gYbQKtKfWKKg2SP6gdD', 52.414916844)]"
28,2iQJDssYgNY5DY1WH9HeLTemiHzeSwUy6nkboWAseV9qg66otX1d6EVK7RCUrvfWH74PXqzdkuEAgjPXCCVjK4Bk,2024/12/25 6:26,STMT,6TaC9R9d5wRHuVtJS8R3KdotSEG1Yk3hi2Ksys29c9Lz,"BJsFj6Hd698EM6dx3ZhhYfsqDFUvnzuErDd6ao39fgh4,2DrLah8ce4JZ9ZZMwp3eXcPF3enjKkcvtnrJnbsBkEr5","DioMiEXPZUfEJfLSHupkyai4kXVwdp2qqghK5JeTTKES,6wjMo1jTJtbVPzFeT3br9Qo3wQR2JtYUChRc31gKbtdt,7iAxhqk8H5aSUvu2MUaoPhgjekUCaV5sgqLQH2UnGaSL,6cchUBDHAth6z8ZU4itDjHatSrKwyhoX1frMKPq8PBT8","[('KENJSUYLASHUMfHyy5o4Hp2FdNqZg1AsUPhfH2kYvEP', 4862.508821), ('HNg5PYJmtqcmzXrv6S9zP1CDKk5BgDuyFBxbvNApump', 12493.914257), ('Fxm6tJ2khHbLVcSgnYUqg9FiBduVRLEvdQR67dvQ3eGp', 69795.264577), ('61V8vBaqAGMpgDQi4JcAwo1dmBGHsyhzodcPqnEVpump', 5946.018829)]"
29,fXdkqnqHtmhhSs8LZKjSBRnumE4a8gtThpz1UXn6egtKKYpFG1xjjeVyJB7cqVUZrvXKA3VxzTLYT171L3Mrzcs,2024/12/25 1:58,STMT,AqQd3e8YYGLwtsW9SeiKYF7Wjump8o51xMLCMKHYHZe9,"BJsFj6Hd698EM6dx3ZhhYfsqDFUvnzuErDd6ao39fgh4,2DrLah8ce4JZ9ZZMwp3eXcPF3enjKkcvtnrJnbsBkEr5","DL3Mp7cenxeAv7mc6rd8XzUgoRBW1AbGoPcBtFFNs57i,FB5JRDEKUQKcH4LdNrNRfoQfExNt8pjtBaoYyiMiigN5","[('EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v', 2846.317137), ('2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv', 3210.0), ('sol', 138466588)]"
